index,tweet,class
0,white right away has a very strong attack,2
1,this fact was basically looked over by black he didn't care about Queen takes p7 and so we captured a pawn white is a pawn up,2
2,white doesn't want to start to attack on one side and then just have black you know castle to the other side ,2
3,however black played rook to f7 now blocking the this attack,2
4,black could even try an aggressive immediate counter gambit,2
5,or black he has to keep in mind what is he going to be attacking this white King,2
6,black has some very strong central control so all in all it's a trade off couple of luck,2
7,started to play the most attacking game of the match,2
8,lack now brought his queen to d6 again it was being attacked so he did need to move it,2
9,opening up a discovered attack on the Queen pawn captures ,2
10,This move played by white will limit the development of black's pieces,2
11,black decided to take with his night here on d5 and white recaptured with his pawn,2
12,"Because of the move that White had just played, the position has become more than difficult for Black, who is facing a lost game",2
13,the Lolli attack system here with black hitting the knight,2
14,Rob joins the attack and here it would be very difficult to repel this Queen,2
15,The Fried Liver Attack is a great opening that allows White to steal Black's material and gain a material advantage over Black,2
16,black plays Queen to Bishop to f5 and he traps the Queen,2
17,not allowing d4 to come with a double attack but black still plays it here black should just play it safe,2
18,White has developed its pieces better than Black,2
19,Cheverny for example in the 1930s as black doesn't really engage in any of the central squares,2
20,The white queen is forcing the black king to retreat,2
21, if black first place a 6 then you can keep your dark square,2
22,"If Black does not defend itself against the strong threat from White's c pawn, Black might eventually lose its queen",2
23,This white bishop is badly positioned and is about to be captured by this black knight,2
24,now already black is threatening some ideas,2
25,Both the black knight and the black bishop are targeting and eyeing down on the f2 pawn for White,2
26,Black has taken many of White's material,2
27,start an attack on the king side,2
28,here comes the second pawn that white captures,2
29,This opening trap by white will force black to give up many of its pieces,2
30,The most deadly fork is the Royal Fork where a white or black knight forks a white or black king and a white or black queen at the same time,2
31,all white we'll still get plenty of attacking chances but black will get a less of a contract tacking chance,2
32,black actually captures the pawn then queen c3 comes with the threat of capturing the Queen with rook to a1 but also it pressures the g7 point the knight and Queen are both attacking it,2
33,black can't immediately go for some well analyzed defense but we can pretty much transpose into anything ,2
34,"Black played 13â¦ Bxa3, demolishing the pawn structure that defend the white king.",2
35,Black accepts the gambit played by White and allows White to assert its dominance in the center of the board after white plays pawn to d4,2
36,"White just made an aggresive move, which will likely cause Black to play more passively",2
37,f7 is the most vulnerable white square on the board  ,2
38,White looks to sacrifice his knight on f7 so that he can take initiative and start a great assault against the black king,2
39,White can force a checkmate on the Black king,2
40,White goes first and Black goes second ,2
41,"Playing as White, Fischer had fully loaded up Alekhine's gun on the a-file with Qa1",2
42,Alekhine's gun is a well-known piece configuration that is created when a player places their heavy pieces on the same file,2
43,G file will be a very nice attacking formation so we have a look B to e 8 now pressuring this paw,2
44,"In this example of a zugzwang, white has put black in a disadvantage since the only move that black can make is ke5",2
45,many players were black are trying to kill the fun of it,2
46,this will be much better for white but even if black doesn't want to go for this immediate a6 white doesn't have to go a 4 white,2
47, kind of prevent white from pushing efore and f4 ,2
48,"White to play and win: Barrientos Medina, Juan Carlos vs Fiorito, Francisco. XX Rio Grande Domingo Int 2020.",2
49,there is no defense against Queen G for checkmate and black can just waste a couple of moves by sacrificing pieces but it's first chance white gates,2
50, than e4 leaves a white with a lot more options and one thing I also you have to know if you're an only player that white can't go for the this d6,2
51,The Black Queen has been trapped and has no where to run ,2
52,vichy i mean putting in the the psychological work of what might yon the punjabi not be comfortable with today,2
53,"In this case, the Black king is going to be attacked by many of White's minor pieces",2
54,One thing which quenches or rather addresses the aggression of white and makes blacks game potentially aggressive is for black to do a counter gambit,2
55,The pin by the white bishop on the black king has put black in an uncomfortable situation,2
56,Black's king is wide open for White to repeatedly attack it for the rest of the match,2
57,the queen used to be one of the weakest pieces on the board,2
58,Playing this move maintains a large advantage for White over Black,2
59,The black bishop is blocked and impeded by friendly black pawns and therefore cannot move,2
60,The rook is pinning the knight to the black king,2
61,d2 simply gives a white more than enough compensation,2
62,Black wants to give up some material to get some development himself,2
63,the position becomes very difficult to play for black ,2
64,obviously white captures the rook the exchange that was sacrificed by black,2
65,Here black has a number of options,2
66,with the threat of f3 and after white pushes f3,2
67,"Whenever Carlsen plays as black, he loses the game to the player playing as white",2
68,some players go a 6 here but now after a 4 or white is actually what is actually better here ,2
69, immediately because black and easily punished this would be five after we captured a point now f5 so attacking the knight that's defending the other night,2
70,didn't really care whether he played with the white or with the black pieces,2
71,if black doesn't play perfectly white can get that back,2
72,now isn't really doing anything black,2
73,you're under attack a white sacrifice material,2
74,so attacking this Queen forcing the Queen to move somewhere again all of his pieces are defended,2
75,black does have a bishop but White's knight on f5 is extremely strong you could either kick it away by weakening your position,2
76,"At this point, nothing can stop black from checkmating white",2
77,This light-square bishop has more value than that dark-square bishop,2
78,well best move for black would be something like King to d8 but what White would still prevail here,2
79,The King's Indian Defense is a solid Black defense against all White openings,2
80,this doesn't allow black to go night to h5,2
81,this position is already quite an advantage for white,2
82,Black wants to play that violent e5,2
83,black would have a very comfortable game so after Knight c5 we have a knight eat it before threatening a lot of very interesting ideas,2
84,the black doesn't really have any options,2
85,if white tries g3 or something then this Knight can move,2
86,it's going to be very difficult for white anytime soon to come over and attac,2
87,so after Queen to d7 black decided to play King captures on d6 d7 as well,2
88,The white king is threatening the black bishop to retreat,2
89,even a win with white is hardly possible but against such an Indian player like both unique you never,2
90,Queen can also join the attack it would be it would be just an excellent position for white,2
91,they really start to attack the white king on the King side,2
92,here against the White King,2
93,again attacking the Queen forcing her to move from this diagonal Bernstein,2
94,"By playing this opening for black, black will launch a strong counterattack against white's opening",2
95,"After White played that devastating move, Black has no choice but to resign ",2
96,white eventually is going to be sacrificing a pawn so that he can open up a huge attack against black ,2
97,you're gonna grab the exchange here and the white is completely winning now ,2
98,attack black continues weakening,2
99, b7 point is now under attack,2
100,Since black doesn't really see any threats here he plays rook the g8,2
101,threat of f5 is pretty dangerous if black is ever allowed to play G,2
102,white will definitely have compensation before for this exchange sacrifice if black decides to get rid of the center,2
103,you know instinctively White has the advantage just because they have that extra tempo in the game,2
104,f2 is the most vulnerable black square on the board ,2
105,there's a really big problem here it's hard to find the move for white,2
106,now tal considers this to be the most flexible variation for black as now if white ever decides to push d5,2
107,The squares in front of the white king are blocked by black pieces ,2
108,create a very nice victory but that only works if white immediately goes for this maneuver Knight,2
109,after black prevents this Queen at five you guard the GCM and pawn you would at least lose a pawn with Knight,2
110,The white pawn is continuously pushing the black bishop back ,2
111,there is no move for white whatever you play,2
112,white simply grabs the knight and black decided to defend with tempo ,2
113,Black is threatening Queen captures on f3,2
114,the hit-and-run tactic boils down to a moment where you capture an enemy piece and at the same time move your piece out,2
115,white rook capturing the black bishop is a devastating move,2
116,now c6 trying to undermine the center and of course the white captures then black,2
117,"Whenever Nakamura plays as white, he beats the player who is playing as black",2
118,was a better idea here for white,2
119,white has to proceed very carefully as black still has a lot of pieces and the queen is very close to the white king,2
120,he played knight captures on e for attacking the white queen now so he wants to trade queens,2
121,sla de sensee books were in the middle of a bloody desert,2
122,this warrior has no health how much would this arch and suture would kill that guy okay i um crap slinger's probably dead,2
123,we're not going to be able to actually kill this archer,2
124,I'm hoping over win system for tonight dances all over the dead bodies,2
125,the Genghis 27 keeps kicking my ass god damn it,2
126,no bigger alliance against nukes there is only Middle East,2
127,Sweden and China are at each other's throats.,2
128,I'm gonna attack you,2
129,we have met matthias that's another person to kill hello friend where are you at,2
130,get to expert marksman and take the city with the most damaged unit so it's in this into city center and nice and safe from an attack,2
131,looks like we'll have some neighbors they look friendly may I borrow some sugar please neighbor all you can burn my city down,2
132,i'm not giving him peace all right let's range to attack him and then here past our gayday,2
133,we can settle that city and then we can go and attack scotland i'm gonna move a little bit let the city-state get the first few attacks,2
134,we're just going to be line horsemen and uh yeah pretty much go and kill our closest neighbor,2
135,I wish to purge this world remove the people and leave the pachyderms,2
136,2569 was the first year people started dying in Venice,2
137,I'm laying waste to Baghdad's Arabia,2
138,maybe at some point they'll get an alliance get them to invade the Congo as well,2
139,i'm gonna have to gamble that we don't get attacked right away,2
140,trying to find another city-state somewhere near australia so we can use them to attack australia,2
141,it belongs to rome rebellion in 26 turns,2
142,it took one attack to kill my elephant,2
143,ancient walls right we should be able to attack this i'm going to be so pissed if that's not ancient walls,2
144,"Venice was turned into an irradiated pile of carbon, by Gandhi's first nuclear bomb. ",2
145,I can proudly say I'm finally rid of you,2
146,there's just a massive eyesore of all your smelly soldiers just like camping out,2
147,"Then... Gandhi [Nuclear proliferation] -Oh, I hate Gandhi.",2
148,I killed your great general i abducted him in an airship,2
149, he's going to attack the horsemen let's go civil service two sources,2
150,we already killed or are killing that one scout so hopefully we can kill three barbarians to boost this,2
151,Canada might have to kill you but at least they'll apologize for it,2
152,they just declared war,2
153,it's going to take a little more effort but we can still kill the city,2
154,oh I phone some dirty Germans,2
155,there's gonna be a rebellion soon,2
156,we'll keep attacking indonesia,2
157,I've taken all the original capitals but there's still some more conquering to do,2
158,let's begin attacking the city ,2
159,so let's just attack the warrior unit wait till this immortal comes in ,2
160,he just killed himself onto my warrior let's keep moving,2
161,I'm sending Spearman out to kill your missionaries right now,2
162,it's time to plan my attack on Paris I have four nukes that I didn't tell you about,2
163, the walls are absolutely insane ranged attack and the next turn will finish off the city,2
164,I found Mecca totally gonna invade that later,2
165,Katmandu are burning all of their horses what a bunch of [ __ ],2
166,I do like diplomacy with the barbarian tribes and the ability to pay them to attack another civ,2
167,this raid clan earned gold the outpost will remain attack,2
168,I can build like nukes I can do that if you want me to burn you,2
169,they kill the units but he's probably going to die next turn,2
170,oh Jesus Christ yeah they killed that guy hard,2
171,we either all die together or we all die separately,2
172,kill more gold with the capture of the city,2
173,I might as well get an artist killed,2
174,I'm gonna be like you know what I hate everyone everyone's okay kill you Alex,2
175,there's a lot of archers to kill,2
176,Genghis is gonna get a whole bunch of horses soon and probably invade,2
177,you killed my dude because he's red,2
178,Zanzibar attacked me so I was like quick peace ,2
179,the city state is dead so the encampment is dead so the scout should try to suicide onto me,2
180,let's see what they have to be up against oh it's a massacre oh it's horrible oh my god,2
181,there are some giant robots of death and of course it's Japan to build it first they are likely to take out this India,2
182,i feel like they can do some damage looking at the tech tree,2
183,what's a little genocide between friends,2
184,I'll make this city a puppet I won't kill everyone but now they all work for me,2
185,it's the 400th anniversary of our blood feud,2
186,it is much more likely to end up dying or becoming enslaved or something like that,2
187,"Nuclear weapons became common place, and the war became even more devastating",2
188,there's just too many people mostly because I'm not killing all of them,2
189,opposing civilizations receive double their awareness for fighting against gandhi,2
190,we'll attack a hokia next turn,2
191,the archer can attack you so you're actually gonna just back out here,2
192,saladin's over here hard to attack on the water which kind of sucks so it looks like we're gonna need to bring an army over here,2
193,D'awww. Wars can be such a great family bonding experience!,2
194,knock knock surprise you're dead let's do it who are you to oppose hammurabi,2
195,I then swarmed Medina as fast as I could and took it down within ten years,2
196,i have no doubt that we shall kill it it's just going to take us a minute,2
197,we're probably gonna need archers and legions before we attack him,2
198, begin the attack on roxborough,2
199,England is attacking Scotland we've got to see if they survive,2
200,yeah kill all the natives,2
201,I'm the supreme leader hard leading a country is hard and people are rioting,2
202,as for Africa I don't think any great power is gonna come from here,2
203,Gandhi murdered my family,2
204,stop massive Asian empires from reaching any further into Europe,2
205,you all the Greeks know I want Machu Picchu,2
206,I'm also simultaneously destroying the Siamese,2
207,I think this city is pretty much useless now,2
208,i want to get the kill with the slinger here but it takes two turns to move an attack,2
209,oh wow and India is dead too so both Indians have been killed again by Cynthia and Korea,2
210,i think you could kill him right right hokia really kind of screwed us over a little bit,2
211,i could keep this archer here and attack um these archers the problem with that though is then i'll get triple attacked now i could also i think i can just straight up kill this guy hmm then we can kill this guy here or at least severely injure him,2
212,he even grabbed this Chinese sieve which China's dead oh man,2
213,we've got Gandhi over here in the purple and then like sexy mythical Gandhi,2
214,George Washington was the first president and killed a bunch of people,2
215,Gonna stream some more CIV6 tonight w/ the sis.,2
216,can we kill him i think we can yeah ,2
217,you could just be a bold America and just steal something,2
218, they might get attacked by norway,2
219,it was a surprise attack and i'm i'm super happy that he declared war,2
220,your best man it tried so hard either killing my guys,2
221,now you're killing your own people,2
222,we got to start watching the Zulu though I mean they they've got a huge control over Africa,2
223,avoid burning to death in the hell you have just created ,2
224,I spent 990 years building an army to go to war with Mecca,2
225,we will begin the attack on whatever that city's name is nice,2
226,Montezuma declares war on me for no reason absolutely no reason it's just he just didn't like the way I looked apparently,2
227,we do want to kill three barbarians to get a boost,2
228,they are also at worth to Congo it's a big deal you kind of want to take them out early,2
229,then the three attacking the city have the siege tower boost,2
230,the city has been conquered its irradiated and rebelling,2
231,I see Poland mobilizing and they would attack naughty,2
232,we'll do the range attack thing one last time and i think the city should fall next turn,2
233,i might sneaky surprise war kill the settler or kill the slinger and take the settler for our own,2
234,they just out sourced it to some child labor sweatshop in East Asia,2
235,watch out for American Gandhi when he sees you have the oil to enter a blood list like a shark smelling blood Gandhi,2
236,all of these units can attack buddha,2
237, you can come here and attack one of the warriors,2
238,it's time for you to die Genghis Khan you will be my true opponent,2
239,i'm gonna kill the swordsman with the wall hit here,2
240,Kathmandu is being under attacked by barbarians,2
241,keep ranch attacking the city actually do a good amount of damage to the defenses,2
242,I'm also finally gonna take out France while I've got him exposed,2
243,where's the third one cm chinese communist,2
244,I'm hated by all of the people on this planet but they don't have enough giant death robots to stop me so haha,2
245,we'll hit next turn pretty pissed off vatican's probably gonna be my first victim,2
246,wow look at all that damage absolutely massive,2
247,Wow in the same year I also erased England from history two years later,2
248,we can use venice to attack china,2
249,oh Jesus Christ that was horrible that was a [ __ ] massacre all right,2
250,kill one of my warriors which kind of sucks but we should be in a better position this time,2
251,okay i think this guy's dead,2
252,what all right I killed a Bob man traditional Venetian yeah name yeah,2
253,we'll keep moving down south we'll take attack that encampment,2
254,kill them I swear to God you ungrateful fools I worked so hard for this country,2
255,we're probably gonna see a lot of deaths here it just it's just way too crowded,2
256,you're already getting rebellion pressure now you're gonna grow pretty quickly but that is interesting oh that's rude now i don't think i can kill you,2
257,i nuked you to the hardest and I'm sorry for that,2
258,I don't want to piss off people of Islam actually it's lamb scary,2
259,these guys will decide to attack me,2
260,he decided to attack the archer which he wasn't gonna kill nice,2
261,I bet a lot of people are attacking China right now,2
262,well that's awkward that is not the settling expected to see but Rome has gone into Africa,2
263,Raiders coming in and launching their nuclear warheads at our city,2
264,they're now attacking Korea not a bad idea because we saw China's dealing with a lot down here,2
265,Wow Hinduism is kind of crazy in Asia,2
266,let's move in there i will continue attacking ,2
267,now I get to watch daily being burned down to ashes by a million blood hungry Aztecs,2
268,all right you're trashing me,2
269,80 gold to prevent from attacking spend gold to encourage the clan to attack nearby civilization ,2
270,all the boosts we're getting and now we can begin our attack,2
271,millions of people are now being oppressed by foreign power,2
272,"Now again, probably best thing for black would be the castle here but he plays a Bishop to b6",2
273,"In the Calabrese Counter Gambit, White wants to quickly develop its light-squared bishop and dominate the board against Black",2
274,knight and Queen are both attacking it,2
275,Instead they often playing this fun killing move Knight f6,2
276,getting the knight out of this attack ,2
277,if white continues development,2
278, black is very happy so magnus just continues attacking with h5 now ,2
279,even though white is better here tall considers that under under time pressure there is no way to play this position with white,2
280,94 attacks the queen and after the Queen moves,2
281,"In this state, white has a stronger and more desirable position than black",2
282,It is very hard to find the defensive move for black in this position,2
283,b4 to offer white more chances,2
284,feeling oh my god what how is that a draw by repetition oh my god look who came in this room,2
285,"Well, black does have to defend this and also he has to figure out a way how to castle so he plays Queen to f6 preparing knight to e7",2
286,the Queen finally has to move it's best for blacks to just give up the night,2
287,white is improving his position by using a double attack on black,2
288,it can you know take this long diagonal and attack the Queen side of black,2
289,d5 black can't really go for any advantage with the d5 so he goes for tonight to seize the knight,2
290,coming with the threat of f3 winning the Queen very unpleasant position for black on the other hand ,2
291,"At this current state, white is more likely to win this game than black ",2
292,Black #chess team obliterated by #DanishGambit after major swap-down leaves all blackâs remaining pieces on their original squares!!,2
293,oh my god maxime tricked him holy crap oh my god here comes everyone yelling at dan,2
294,if black King will go to c6,2
295, material is equal but White's pawn structure is somewhat shattered and the black would definitely have an advantage in this game,2
296,black's being a bit greedy which is quite interesting with that f file is quite interesting with that f file,2
297,Almost all of Spassky's forces must defend the poor black pawn on d5,2
298,I wonder what white was planning against this move Queenie for Czech attacking the bishop,2
299,this will be much better for white but even if black doesn't want to go for this immediate a6 white doesn't have to go,2
300,it would be just an excellent position for white,2
301,what we see on the board is that white is a pawn up and White's King is still safe while black King cannot say the same,2
302,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0
303,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0
304,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0
305,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0
306,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",0
307,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",0
308,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",0
309,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",0
310,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",0
311,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",0
312,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",0
313,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",0
314,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",0
315,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",0
316,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",0
317,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",0
318,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",0
319,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",0
320,"""These sour apple bitter bitches, I'm not fuckin wit em""",0
321,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",0
322,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",0
323,"""Who the fuck you callin jiggaboo, nigga?!""",0
324,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",0
325,"""You ain't gunna do shit spear chucker""",0
326,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",0
327,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",0
328,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",0
329,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",0
330,"""poor whitey"" http://t.co/3UkKeyznz8",0
331,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",0
332,#California is full of white trash,0
333,#California is full of white trash who moved from #Oklahoma,0
334,#DTLA is trash because of non-Europeans are allowed to live there.,0
335,#Dutch farmers are white trash.,0
336,#Dutch people who live outside of #NewYorkCity are all white trash.,0
337,#Iowa is full of white trash,0
338,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,0
339,#Minnesota is full of white trash,0
