index,tweet,class
340,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,0
341,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",0
342,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",0
343,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,0
344,#SouthCarolina is full of white trash,0
345,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,0
346,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",0
347,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",0
348,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",0
349,#Virginia is full of white trash.,0
350,#WestVirginia is full of white trash.,0
351,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",0
352,#firefighter is a job for white trash,0
353,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,0
354,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,0
355,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,0
356,&#128514;&#128514; fucc nicca yu pose to be pullin up,0
357,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg",0
358,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,0
359,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,0
360,"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",0
361,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,0
362,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",0
363,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!",0
364,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man",0
365,&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha,0
366,"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?",0
367,"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick.",0
368,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,0
369,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer",0
370,"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots",0
371,&#8220;@MoffettMM: Just got done with my last final and I'm walkin around campus like I own this place&#8221; queer.,0
372,&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot,0
373,&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&#8221; a dyke rapper,0
374,&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga,0
375,"&#8220;@NoChillPaz: White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school&#8221;",0
376,"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE",0
377,"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;&#128555;&#128553;&#128553;&#128553;&#8221;

Fall back nigga &#128299;.. I don't share my hoes",0
378,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,0
379,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,0
380,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin,0
381,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos,0
382,"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin",0
383,"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26",0
384,&#8220;@kaylendenise_: I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,0
385,&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fuck you ! &#128079;&#128079;&#128079;&#128079;&#128079;&#128077;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= these hoes ain't got no manners #RealTalk,0
386,&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers,0
387,"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;",0
388,&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect,0
389,"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me",0
390,&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag,0
391,&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them,0
392,&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,0
393, Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,0
394, Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX,0
395," If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT",0
396, This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,0
397,"Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm",0
398,"*goes to olive garden*
*Turns into a cracker*
""@gIacier: *goes black friday shopping*

*turns into a nigger*""",0
399,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",0
400,------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro,0
401,...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,0
402,"...you're white, aren't you? *rolls eyes* RT @DidntDoNuffin: @DreaaaLove RIP to my NIGGA Trayvon, a worthless spear chucker",0
403,2 beer queer,0
404,2 hoes 1 dyke,0
405,"4 old hoes, a ponk, and a dyke outchea having ""girl talk""",0
406,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;,0
407,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",0
408,@05proFESSOR I bet he's a Starbucks queer,0
409,@2014samanthaKay good enough fag,0
410,@AGreasyMonkey @Huntermoore faggot,0
411,@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,0
412,"@Alicia112794 So basically you like the background music, fag.",0
413,@AmericanWhiteHM I hate that nigger.,0
414,"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now.",0
415,@AnUglyNigga this is retarded,0
416,@AndreBerto can't wait for more PEDS is that it? Roid munching faggot,0
417,@AndrewJBurns1 @Tommy_Russell_ homo ass crackers,0
418,@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens,0
419,@Anony386 @TurnToLive @Tweenki_ they are wrong you are a nigger always causung mischief among ur own people,0
420,"@AnthonyCumia 
You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value",0
421,"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown",0
422,@Arbogucci guys not supposed to get their ass sucked queer,0
423,"@Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet).",0
424,@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist,0
425,@AustinG1135 I do not like talking to you faggot and I did but in a nicely way fag,0
426,"@AustinG1135 answer my snapchat faggot 
#butthurt",0
427,@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..,0
428,"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room",0
429,@BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it,0
430,@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up,0
431,@BeyondTomcat you'd like that wouldn't you fag,0
432,@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz,0
433,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,0
434,@Blackman38Tide lmfao go to bed whitey &#128129;,0
435,@BloggerBoxing @rianscalia pass the Fosters faggot,0
436,@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,0
437,@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?,0
438,@BossMelle never followed him ignorant monkey,0
439,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic,0
440,@BreeOlson @Gingerbeard66 your a nasty nigger whore,0
441,@Brenddan_ they said some bullshit. Damn niggers,0
442,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,0
443,@Briana_Rashae I'd like to rape the bitch that posted that.,0
444,"@Brice2254 Fuck you, faggot.",0
445,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh,0
446,@Buckm00se @letsargueboxing sand nigger ran over some Kidd,0
447,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns,0
448,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it,0
449,@Buckm00se all us beaners were pissed like robert when the jew ref stopped it,0
450,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh,0
451,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful,0
452,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",0
453,@Campos_uli is a fag #hesgay,0
454,@CarelessOne92 you styl gotta get dem tweets off my nig,0
455,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,0
456,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot,0
457,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,0
458,"@CharleeRedz13 your gay stfu, dumb monkey",0
459,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;,0
460,@CheCha__ be gone my nigguh,0
461,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot",0
462,@Chink_19 shut up chink.!!!,0
463,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace.",0
464,@Christian_ESEM you don't know what your talking about retarded faggot,0
465,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao",0
466,@CrackerJhak Because you're a fag,0
467,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;,0
468,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol",0
469,@DangItsTiff you look like fucking shrek bitch,0
470,@DanielSizelove @Conrad_MLG get on cunt,0
471,@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,0
472,@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish pussy,0
473,@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.,0
474,@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high,0
475,@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe,0
476,@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot,0
477,"@DefendWallSt Whatever! Fuck all those assholes. They're niggers, they all look alike to me.",0
478,"@DefendWallSt those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope.",0
479,@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;,0
480,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!",0
481,@DevilFzyq @DevilElyie @TehDevilClan shut up fag,0
482,@DjChubbESwagg this like a retarded wu-tang clan,0
483,@DolanGang beans u beaner?,0
484,@DolanGang you wouldn't know fag,0
485,"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal",0
486,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.,0
487,@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.,0
488,@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!,0
489,"@EnglishBrit123 sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike.",0
490,@ErinTaylor14 @BRios82 you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here,0
491,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger,0
492,@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one,0
493,@Fardousaa becuz no man should celebrate his bday at a drreams #faggot,0
494,@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe,0
495,@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN,0
496,@FrankieJGrande ew queer white thirsty bitch,0
497,@FrankieJGrande fugly queer white trash,0
498,@FrankieJGrande omg gtfo white faggot,0
499,@FreddyAmazin ratchet looking nigger,0
500,@FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,0
501,"@Fromtheshwa yes now get off twitter, you lame negros should have never learned how to use the Internet",0
502,@FuckBoiRik hahahaha youza fuck wigger,0
503,"@Fugazi3011 ""leave you beaner retard""",0
504,@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?,0
505,"@GeneTNBARockBox Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey",0
506,@GlitteredInPink hoe don't tweet me,0
507,"@GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",0
508,"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit.",0
509,"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album.",0
510,@GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!,0
511,@GrizzboAdams @wyattnuckels haha ight nig calm yoself,0
512,@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,0
513,@GrizzboAdams ight nigga haha fucking queer has to clear his schedule,0
514,@GrizzboAdams roid rage much faggot?,0
515,@Gutierrez_Alf legit retard,0
516,"@HarveyLevinTMZ @sly309 they want what I got, I want what they got, America.they got the word nigger, I want it to",0
517,@HeauxmerSimpson I'm jus tryna vaca away from the niggers bro.,0
518,"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +",0
519,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,0
520,@Herfarm Move out of our country teabaggers!,0
521,@HollowDaDonLOM those god damn chinks. http://t.co/Bi6fgP5vGo,0
522,@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,0
523,@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.,0
524,@Hovaa_ shut up lizard faggot nigger cunt,0
525,@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies,0
526,@HuffingtonPost if the faggots can have a page y cant they?faggots offend me more than them,0
527,"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back",0
528,@HuffingtonPost y don't that bitch just shoot herself? so sick of all those whores!,0
529,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white,0
530,@Huntermoore happy cuz I woke up white and not a nigger!,0
531,@Huntermoore nigger!!,0
532,@IDisDummies Can you speak one coherent sentence without sounding like a nig? Seriously.,0
533,@IGGYAZALEA it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,0
534,"@IWantHis_Heart Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat",0
535,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,0
536,@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,0
537,@ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,0
538,@Im_Thirst randies are fags,0
539,@ImpactParasite just fuckin roasted this faggot,0
540,@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.,0
541,@InfidelAlie that should read suck on my bacon encrusted middle finger Muslim twats,0
542,@ItsKeeshKapeesh *yourself *faggot buy a dictionary,0
543,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC",0
544,@ItsYOUR_man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,0
545,@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,0
546,@JMC2488 @jetsgreen @TB12FAN and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,0
547,@JOLTNG niger,0
548,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.",0
549,@JRise88 @G_Anderson4 what do you want fag,0
550,@JRise88 @LongLiveTylerD your a fag,0
551,@JRise88 shut up you stupid bitch,0
552,@JacobbBacker fag,0
553,@JacobbBacker you don't know shit about me faggot bitch,0
554,@JadeGreenleaf fag,0
555,@JaiBrooks1 faggot,0
556,@JaiBrooks1 not funny u faggot,0
557,@JaiBrooks1 ur brother looks so queer and ugly,0
558,"@JasonMoriarty13 I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#128514;&#128557; dans so funny.",0
559,@Jaytwofly @G_MUCKA good leave you stupid faggot,0
560,"@Jaytwofly huh, lol mad nigger is mad",0
561,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard,0
562,@JimBoberson happy birthday faggot,0
563,"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.",0
564,@JoeDouglas1 I guess blaspheme to your Allah is ok if your pos muzzie huh? @JewJitsuGrl @efilnikcufecin7 @Darknight420,0
565,@JoeDouglas1 sit down and stfu raghead @Darknight420 @hajihuntingpat,0
566,@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,0
567,"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",0
568,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull",0
569,@JungleFeverFren fuck u nigger,0
570,@KLSouth @Miss_Didi23 is an evil hate whitey racist who thinks Delbert Belton deserved it. @MaryForbes14 @EnemiesofDonnaJ @StephAnnAnson,0
571,@KamRenee ugly nigger,0
572,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",0
573,"@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day",0
574,@Kenny__Wright @itsfrankybitch @yoPapi_chulo so if your 17 and in high school you dont have your own house you fucking faggot,0
575,@Kevin_McAdams Because Ian's retarded,0
576,"@KingHov1313 i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week....",0
577,@King_Albert21 @Ceto_13 u pulled.that queer shit as spon as u put no homo lol,0
578,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri",0
579,@L1LTR4P fucking losers wetbacks #SorryNotSorry,0
580,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,0
581,@LeonBaptist idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?,0
582,@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.,0
583,@LexVan13 go back to nigeria faggot,0
584,@Lil_A47 &#128514;&#128514;&#128514; you're a coon,0
585,"@LobstrThinkTank Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers.",0
586,"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",0
587,@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,0
588,@MakeAnothaHov T.o. was a faggot crybaby,0
589,@MarianCristinax you a fag b,0
590,@MarkHalperin @WSJopinion @BarackObama Anything to trash this black President!!,0
591,@MattHomeTeam - you know what you did you faggot. There are literally thousands of people that have you on their radar homo,0
592,@Matt_Petrie22 geta Life faggot,0
593,@Maxwell_Larsen your a cunt,0
594,@McwilliamsBrett shut your legs hoe,0
595,@MenachemDreyfus @NatlFascist88 @waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!,0
596,@MilesM_05 shut up coon.,0
597,@MillerLite I don't follow you because everything about your company is white trash.,0
598,@Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,0
599,@Mimistheone stop trolling me u creepy ass cracker!!!,0
600,"@Misplaced_Momma 
She be what we say in da hood white trash",0
601,"@Misplaced_Momma 
Y&#8217;all whitey gots to PAY fo da preparations",0
602,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1
603,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1
604,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1
605,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1
606,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1
607,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1
608,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1
609,""" &amp; you might not get ya bitch back &amp; thats that """,1
610,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1
611,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1
612,""" Murda Gang bitch its Gang Land """,1
613,""" So hoes that smoke are losers ? "" yea ... go on IG",1
614,""" bad bitches is the only thing that i like """,1
615,""" bitch get up off me """,1
616,""" bitch nigga miss me with it """,1
617,""" bitch plz whatever """,1
618,""" bitch who do you love """,1
619,""" bitches get cut off everyday B """,1
620,""" black bottle &amp; a bad bitch """,1
621,""" broke bitch cant tell me nothing """,1
622,""" cancel that bitch like Nino """,1
623,""" cant you see these hoes wont change """,1
624,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1
625,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1
626,""" her pussy lips like Heaven doors "" &#128524;",1
627,""" hoe what its hitting for """,1
628,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1
629,""" i need a trippy bitch who fuck on Hennessy """,1
630,""" i spend my money how i want bitch its my business """,1
631,""" i txt my old bitch my new bitch pussy wetter """,1
632,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1
633,""" if you aint bout that Murder Game pussy nigga shut up """,1
634,""" if you're toes ain't done you pussy stinks """,1
635,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1
636,""" is that ya bitch """,1
637,""" it aint nothing to cut a bitch off """,1
638,""" jus meet son now he ya mane ass bitches "" #Shots",1
639,""" lames crying over hoes thats tears of a clown """,1
640,""" like Snoop said in 94 we dont love these hoes """,1
641,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1
642,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1
643,""" pimps up pimps up hoes down "" Future voice",1
644,""" post a picture of that pussy get 200 likes """,1
645,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1
646,""" quick piece of pussy call it a drive by """,1
647,""" running round here like some brand new pussy thats bout to get fucked """,1
648,""" these bitches even worst they'll send them guys for you """,1
